"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","CODE_JEDEC","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","DATASHEETVERSION","LATESTREVISIONDATE","LATESTREVISIONNOTE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGEVERSION","PUBLISHED","PUBLISHER","SUPPLIER 1","SUPPLIER 2","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"SW-SPDT","Switch sur cosses 5.08mm","","","","","","","","Switch","","","","","","","","","","","","","","","","","","","","*","INT?","Slide Switch with 2 positions"
"TPS2044","TPS2044","","","","","","","","TPS2044","","","","","","","","","","","","","","","","","","","","*","U?","Power distribution USB"
"TSOP7000","TSOP IR","","","","","","","","TSOP7000","","","","","","","","","","","","","","","","","","","","*","T?","Vishay 455kHz IR Receiver"
"TUSB2046BVF","TUSB2046BVF","","","","","","","","TUSB2046BVF","","","","","","","","","","","","","","","","","","","","*","U?","TI 4-Port USB Hub"
"USB Con","USB SM female vertical","USB SM female vertical","USB type B Vert","","","","","","USB","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","Altium Limited","","","","","","","P?","USB Connector"
"XBEE","XBEE","XBEE PRO","","","","","","","*","","","","","","","","","","","","","","","","","","","","*","*","XBEE (Pro ou pas)"
"XTAL","HC49SMD C","","","","","","","","XTAL","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","Crystal, Thru-Hole; 2 Leads; Body 3.1 x 8.2 mm (Dia.xH)","R38","","8-Jun-2000","Altium Limited","","","","","","","Y?","Crystal Oscillator"
"Zener","DSO-C2/X1.8","","","","","","","","5.6V","","","","","","","","","","","","","","","","","","","","","D?","Zener Diode"
"arduino","Arduino","","","","","","","","Arduino Pinout","","","","","","","","","","","","","","","","","","","","*","Arduino",""
"dsPIC33FJ64MC804-I/PT","TQFP-PT44_N","","","","","","","MS-026","dsPIC33FJ64MC804-I/PT","Datasheet","http://ww1.microchip.com/downloads/en/DeviceDoc/70291D.pdf","Packaging Specification","http://www.microchip.com/stellent/groups/techpub_sg/documents/packagingspec/en012702.pdf","Microchip.com Home","http://www.microchip.com/","revD, Nov-2009","","","44-Lead Plastic Thin Quad Flatpack (PT) - 10x10x1mm Body, 2.00mm [TQFP]","TQFP-PT44","revBB, Aug-2009","2-Dec-2009","Altium Limited","Digi-Key","Farnell","DSPIC33FJ64MC804-I/PT-ND","1576844","","","U?","High-Performance 16-bit Digital Signal Controller, 64 KB Flash, 16 KB RAM, 44-Pin TQFP, Industrial Temperature"
